,infrastructure,wf_version,aligner,dataset_size,run_number
0,kubernetes-cluster,RS1,HISAT2,large,1
1,kubernetes-cluster,RS1,HISAT2,large,2
2,kubernetes-cluster,RS1,HISAT2,large,3
3,kubernetes-cluster,RS1,HISAT2,medium,1
4,kubernetes-cluster,RS1,HISAT2,medium,2
5,kubernetes-cluster,RS1,HISAT2,medium,3
6,kubernetes-cluster,RS1,STAR,large,2
7,kubernetes-cluster,RS1,STAR,large,3
8,kubernetes-cluster,RS1,STAR,large,4
9,kubernetes-cluster,RS1,STAR,medium,2
10,kubernetes-cluster,RS1,STAR,medium,3
11,kubernetes-cluster,RS1,STAR,small,2
12,kubernetes-cluster,RS1,STAR,small,3
13,kubernetes-cluster,RS1,kallisto,large,1
14,kubernetes-cluster,RS1,kallisto,large,2
15,kubernetes-cluster,RS1,kallisto,medium,1
16,kubernetes-cluster,RS1,kallisto,medium,2
17,kubernetes-cluster,RS1,kallisto,small,1
18,kubernetes-cluster,RS1,kallisto,small,2
19,kubernetes-cluster,RS2,HISAT2,large,1
20,kubernetes-cluster,RS2,HISAT2,large,2
21,kubernetes-cluster,RS2,HISAT2,large,3
22,kubernetes-cluster,RS2,HISAT2,medium,1
23,kubernetes-cluster,RS2,HISAT2,medium,2
24,kubernetes-cluster,RS2,HISAT2,medium,3
25,kubernetes-cluster,RS2,HISAT2,small,1
26,kubernetes-cluster,RS2,HISAT2,small,2
27,kubernetes-cluster,RS2,HISAT2,small,3
28,kubernetes-cluster,RS2,STAR,large,1
29,kubernetes-cluster,RS2,STAR,large,2
30,kubernetes-cluster,RS2,STAR,large,3
31,kubernetes-cluster,RS2,STAR,medium,3
32,kubernetes-cluster,RS2,STAR,small,2
33,kubernetes-cluster,RS2,STAR,small,3
34,kubernetes-cluster,RS2,kallisto,large,1
35,redwood,RS1,Salmon,large,1
36,redwood,RS1,Salmon,large,2
37,redwood,RS1,Salmon,large,4
38,redwood,RS1,Salmon,medium,1
39,redwood,RS1,Salmon,medium,2
40,redwood,RS1,Salmon,small,1
41,redwood,RS1,Salmon,small,2
42,redwood,RS1,Salmon,small,3
43,redwood,RS1,Salmon,small,4
44,redwood,RS1,kallisto,large,1
45,redwood,RS1,kallisto,large,2
46,redwood,RS1,kallisto,large,3
47,redwood,RS1,kallisto,medium,1
48,redwood,RS1,kallisto,medium,2
49,redwood,RS1,kallisto,medium,3
50,redwood,RS1,kallisto,small,1
51,redwood,RS1,kallisto,small,2
52,redwood,RS1,kallisto,small,3
53,redwood,RS2,HISAT2,large,2
54,redwood,RS2,HISAT2,large,3
55,redwood,RS2,STAR,large,1
56,redwood,RS2,STAR,large,2
57,redwood,RS2,STAR,large,3
58,redwood,RS2,STAR,medium,3
59,redwood,RS2,STAR,small,1
60,redwood,RS2,STAR,small,3
61,redwood,RS2,Salmon,large,1
62,redwood,RS2,Salmon,large,2
63,redwood,RS2,Salmon,medium,1
64,redwood,RS2,Salmon,medium,2
65,redwood,RS2,Salmon,small,1
66,redwood,RS2,Salmon,small,2
67,redwood,RS2,Salmon,small,3
68,redwood,RS2,Salmon,small,4
69,redwood,RS2,kallisto,large,1
70,redwood,RS2,kallisto,large,2
71,redwood,RS2,kallisto,large,3
72,redwood,RS2,kallisto,medium,1
73,redwood,RS2,kallisto,medium,2
74,redwood,RS2,kallisto,medium,3
75,redwood,RS2,kallisto,small,1
76,redwood,RS2,kallisto,small,2
77,redwood,RS2,kallisto,small,3
